row,category_code,category
1,44000,Retail Trade
2,441,Motor Vehicle and Parts Dealers
3,4411,Auto and Other Motor Vehicles
4,4412,Auto and Other Motor Vehicles
5,442,Furniture and Home Furnishings Stores
6,443,Electronics and Appliance Stores
7,444,Building Mat. and Garden Equip. and Supplies Dealers
8,445,Food and Beverage Stores
9,4451,Grocery Stores
10,446,Health and Personal Care Stores
11,447,Gasoline Stations
12,448,Clothing and Clothing Access. Stores
13,44W72,"Retail Trade and Food Services, ex Auto and Gas"
14,44X72,Retail Trade and Food Services
15,44Y72,"Retail Trade and Food Services, ex Auto"
16,44Z72,"Retail Trade and Food Services, ex Gas"
17,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
18,452,General Merchandise Stores
19,4521,Department Stores
20,453,Miscellaneous Store Retailers
21,454,Nonstore Retailers
22,722,Food Services and Drinking Places
,441X,Motor Vehicle and Parts Dealers X
,4521E,Department Stores E
